event_id,unix_timestamp,date,state_code,state,state_abbr,mun_code,municipality,detained,total_people_dead,military_dead,navy_dead,federal_police_dead,afi_dead,state_police_dead,ministerial_police_dead,municipal_police_dead,public_prosecutor_dead,organized_crime_dead,civilian_dead,total_people_wounded,military_wounded,navy_wounded,federal_police_wounded,afi_wounded,state_police_wounded,ministerial_police_wounded,municipal_police_wounded,public_prosecutor_wounded,organized_crime_wounded,civilian_wounded,long_guns_seized,small_arms_seized,cartridge_sezied,clips_seized,vehicles_seized,afi,army,federal_police,ministerial_police,municipal_police,navy,other,state_police,source,organized_crime_lethality,army_lethality,navy_lethality,federal_police_lethality,organized_crime_lethality_diff,army_lethality_diff,navy_lethality_diff,federal_police_lethality_diff,organized_crime_NewIndex,army_NewIndex,navy_NewIndex,federal_police_NewIndex,perfect_lethality,category,global_id
27,1176872410,2007-04-18,2,Baja California,BC,4,Tijuana,6,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,confrontations,Inf,NaN,NaN,NaN,3,0,0,0,1,NaN,NaN,NaN,1,perfect_lethality,27
28,1176872410,2007-04-18,4,Campeche,CAMP,3,Carmen,19,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,24,10,2e3,61,8,0,1,1,0,0,0,0,1,confrontations,Inf,NaN,NaN,NaN,2,0,0,0,1,NaN,NaN,NaN,1,perfect_lethality,28
29,1176872410,2007-04-18,25,Sinaloa,SIN,12,Mazatlán,0,2,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,confrontations,0.5,NaN,NaN,NaN,-2,0,0,0,-0.3333333333333333,NaN,NaN,NaN,0,dead.wounded,29
30,1176958810,2007-04-19,2,Baja California,BC,4,Tijuana,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,confrontations,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,no_dead_wounded,30
31,1177131610,2007-04-21,23,Quintana Roo,Q ROO,6,José María Morelos,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,confrontations,NaN,NaN,NaN,0,0,0,0,-2,NaN,NaN,NaN,-1,0,no_dead_wounded,31
32,1177218010,2007-04-22,10,Durango,DGO,5,Durango,0,6,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,confrontations,Inf,NaN,NaN,NaN,3,0,0,0,1,NaN,NaN,NaN,1,perfect_lethality,32
33,1177909210,2007-04-30,19,Nuevo León,NL,48,Santa Catarina,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,confrontations,0,NaN,NaN,NaN,-2,0,0,0,-1,NaN,NaN,NaN,0,just_wounded,33
34,1177995610,2007-05-01,16,Michoacán de Ocampo,MICH,13,Carácuaro,0,7,6,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,3,0,556,0,0,0,1,0,0,0,0,0,0,confrontations,Inf,2,NaN,NaN,1,3,0,0,1,0.3333333333333333,NaN,NaN,1,perfect_lethality,34
35,1178254810,2007-05-04,16,Michoacán de Ocampo,MICH,102,Uruapan,0,5,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,confrontations,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,no_dead_wounded,35
36,1178254810,2007-05-04,16,Michoacán de Ocampo,MICH,102,Uruapan,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,confrontations,Inf,NaN,NaN,NaN,5,0,0,0,1,NaN,NaN,NaN,1,perfect_lethality,36
